Name,contents,Course,Title,"Lesson 1-result","Lesson 1-date and time","Lesson 2-result","Lesson 2-date and time","Lesson 3-result","Lesson 3-date and time","Lesson 4-result","Lesson 4-date and time","Productivity Test-result","Productivity Test-date and time"
kjsstudent1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
kjsstudent1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
kjsstudent1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
kjsstudent1,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
kjsstudent1,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
kjsstudent1,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
kjsstudent1,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
kjsstudent1,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-,-,-
kjsstudent1,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-,-,-
kjsstudent1,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-,-,-
kjsstudent1,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-,-,-
kjsstudent1,questionnaire,"Lesson 4",Questionnaire,-,-,-,-,-,-,○,"2019-12-26 07:55:05",-,-
kjsstudent1,questionnaire,"Lesson 4",Questionnaire,-,-,-,-,-,-,○,"2019-12-26 07:58:04",-,-
kjsstudent1,questionnaire,"Lesson 4",Questionnaire,-,-,-,-,-,-,○,"2019-12-26 07:49:33",-,-
kjsstudent1,questionnaire,"Lesson 4",Questionnaire,-,-,-,-,-,-,○,"2019-12-26 09:06:18",-,-
kjsstudent1,questionnaire,"Productivity Test",-,-,-,-,-,-,-,-,-,-,-
kjsstudent1,report,"Lesson 1",-,-,-,-,-,-,-,-,-,-,-
kjsstudent1,report,"Lesson 2",-,-,-,-,-,-,-,-,-,-,-
kjsstudent1,report,"Lesson 3",-,-,-,-,-,-,-,-,-,-,-
kjsstudent1,report,"Lesson 4",-,-,-,-,-,-,-,-,-,-,-
kjsstudent1,report,"Productivity Test",-,-,-,-,-,-,-,-,-,-,-
kjsstudent2,Video,"Lesson 1",V-1.1.4,0%,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
kjsstudent2,Video,"Lesson 1",V-1.1.3,0%,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
kjsstudent2,Video,"Lesson 1",V-1.1.2,0%,"2020-01-06 12:52:04",-,-,-,-,-,-,-,-
kjsstudent2,Video,"Lesson 1",V-1.1.1,0%,"2020-01-06 12:51:51",-,-,-,-,-,-,-,-
kjsstudent2,Video,"Lesson 2",V-1.2.4,-,-,0%,"0000-00-00 00:00:00",-,-,-,-,-,-
kjsstudent2,Video,"Lesson 2",V-1.2.3,-,-,0%,"0000-00-00 00:00:00",-,-,-,-,-,-
kjsstudent2,Video,"Lesson 2",V-1.2.2,-,-,0%,"0000-00-00 00:00:00",-,-,-,-,-,-
kjsstudent2,Video,"Lesson 2",V-1.2.1,-,-,0%,"0000-00-00 00:00:00",-,-,-,-,-,-
kjsstudent2,Video,"Lesson 3",V-1.3.4,-,-,-,-,0%,"0000-00-00 00:00:00",-,-,-,-
kjsstudent2,Video,"Lesson 3",V-1.3.3,-,-,-,-,0%,"0000-00-00 00:00:00",-,-,-,-
kjsstudent2,Video,"Lesson 3",V-1.3.2,-,-,-,-,0%,"0000-00-00 00:00:00",-,-,-,-
kjsstudent2,Video,"Lesson 3",V-1.3.1,-,-,-,-,0%,"0000-00-00 00:00:00",-,-,-,-
kjsstudent2,Video,"Lesson 4",V-1.4.4,-,-,-,-,-,-,0%,"0000-00-00 00:00:00",-,-
kjsstudent2,Video,"Lesson 4",V-1.4.3,-,-,-,-,-,-,0%,"0000-00-00 00:00:00",-,-
kjsstudent2,Video,"Lesson 4",V-1.4.2,-,-,-,-,-,-,0%,"0000-00-00 00:00:00",-,-
kjsstudent2,Video,"Lesson 4",V-1.4.1,-,-,-,-,-,-,0%,"0000-00-00 00:00:00",-,-
kjsstudent2,Video,"Productivity Test",-,-,-,-,-,-,-,-,-,-,-
kjsstudent2,quiz,"Lesson 1",-,-,-,-,-,-,-,-,-,-,-
kjsstudent2,quiz,"Lesson 2",-,-,-,-,-,-,-,-,-,-,-
kjsstudent2,quiz,"Lesson 3",-,-,-,-,-,-,-,-,-,-,-
kjsstudent2,quiz,"Lesson 4",-,-,-,-,-,-,-,-,-,-,-
kjsstudent2,quiz,"Productivity Test","Productivity Quiz",-,-,-,-,-,-,-,-,0点,"0000-00-00 00:00:00"
kjsstudent2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
kjsstudent2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
kjsstudent2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
kjsstudent2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
kjsstudent2,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
kjsstudent2,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
kjsstudent2,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
kjsstudent2,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
kjsstudent2,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-,-,-
kjsstudent2,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-,-,-
kjsstudent2,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-,-,-
kjsstudent2,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-,-,-
kjsstudent2,questionnaire,"Lesson 4",Questionnaire,-,-,-,-,-,-,×,"0000-00-00 00:00:00",-,-
kjsstudent2,questionnaire,"Lesson 4",Questionnaire,-,-,-,-,-,-,×,"0000-00-00 00:00:00",-,-
kjsstudent2,questionnaire,"Lesson 4",Questionnaire,-,-,-,-,-,-,×,"0000-00-00 00:00:00",-,-
kjsstudent2,questionnaire,"Lesson 4",Questionnaire,-,-,-,-,-,-,×,"0000-00-00 00:00:00",-,-
kjsstudent2,questionnaire,"Productivity Test",-,-,-,-,-,-,-,-,-,-,-
kjsstudent2,report,"Lesson 1",-,-,-,-,-,-,-,-,-,-,-
kjsstudent2,report,"Lesson 2",-,-,-,-,-,-,-,-,-,-,-
kjsstudent2,report,"Lesson 3",-,-,-,-,-,-,-,-,-,-,-
kjsstudent2,report,"Lesson 4",-,-,-,-,-,-,-,-,-,-,-
kjsstudent2,report,"Productivity Test",-,-,-,-,-,-,-,-,-,-,-
tanjil,Video,"Lesson 1",V-1.1.4,0%,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
tanjil,Video,"Lesson 1",V-1.1.3,0%,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
tanjil,Video,"Lesson 1",V-1.1.2,0%,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
tanjil,Video,"Lesson 1",V-1.1.1,0%,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
tanjil,Video,"Lesson 2",V-1.2.4,-,-,0%,"0000-00-00 00:00:00",-,-,-,-,-,-
tanjil,Video,"Lesson 2",V-1.2.3,-,-,0%,"0000-00-00 00:00:00",-,-,-,-,-,-
tanjil,Video,"Lesson 2",V-1.2.2,-,-,0%,"0000-00-00 00:00:00",-,-,-,-,-,-
tanjil,Video,"Lesson 2",V-1.2.1,-,-,0%,"0000-00-00 00:00:00",-,-,-,-,-,-
tanjil,Video,"Lesson 3",V-1.3.4,-,-,-,-,0%,"0000-00-00 00:00:00",-,-,-,-
tanjil,Video,"Lesson 3",V-1.3.3,-,-,-,-,0%,"0000-00-00 00:00:00",-,-,-,-
tanjil,Video,"Lesson 3",V-1.3.2,-,-,-,-,0%,"0000-00-00 00:00:00",-,-,-,-
tanjil,Video,"Lesson 3",V-1.3.1,-,-,-,-,0%,"0000-00-00 00:00:00",-,-,-,-
tanjil,Video,"Lesson 4",V-1.4.4,-,-,-,-,-,-,0%,"0000-00-00 00:00:00",-,-
tanjil,Video,"Lesson 4",V-1.4.3,-,-,-,-,-,-,0%,"0000-00-00 00:00:00",-,-
tanjil,Video,"Lesson 4",V-1.4.2,-,-,-,-,-,-,0%,"0000-00-00 00:00:00",-,-
tanjil,Video,"Lesson 4",V-1.4.1,-,-,-,-,-,-,0%,"0000-00-00 00:00:00",-,-
tanjil,Video,"Productivity Test",-,-,-,-,-,-,-,-,-,-,-
tanjil,quiz,"Lesson 1",-,-,-,-,-,-,-,-,-,-,-
tanjil,quiz,"Lesson 2",-,-,-,-,-,-,-,-,-,-,-
tanjil,quiz,"Lesson 3",-,-,-,-,-,-,-,-,-,-,-
tanjil,quiz,"Lesson 4",-,-,-,-,-,-,-,-,-,-,-
tanjil,quiz,"Productivity Test","Productivity Quiz",-,-,-,-,-,-,-,-,0点,"0000-00-00 00:00:00"
tanjil,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
tanjil,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
tanjil,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
tanjil,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
tanjil,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
tanjil,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
tanjil,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
tanjil,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
tanjil,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-,-,-
tanjil,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-,-,-
tanjil,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-,-,-
tanjil,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-,-,-
tanjil,questionnaire,"Lesson 4",Questionnaire,-,-,-,-,-,-,×,"0000-00-00 00:00:00",-,-
tanjil,questionnaire,"Lesson 4",Questionnaire,-,-,-,-,-,-,×,"0000-00-00 00:00:00",-,-
tanjil,questionnaire,"Lesson 4",Questionnaire,-,-,-,-,-,-,×,"0000-00-00 00:00:00",-,-
tanjil,questionnaire,"Lesson 4",Questionnaire,-,-,-,-,-,-,×,"0000-00-00 00:00:00",-,-
tanjil,questionnaire,"Productivity Test",-,-,-,-,-,-,-,-,-,-,-
tanjil,report,"Lesson 1",-,-,-,-,-,-,-,-,-,-,-
tanjil,report,"Lesson 2",-,-,-,-,-,-,-,-,-,-,-
tanjil,report,"Lesson 3",-,-,-,-,-,-,-,-,-,-,-
tanjil,report,"Lesson 4",-,-,-,-,-,-,-,-,-,-,-
tanjil,report,"Productivity Test",-,-,-,-,-,-,-,-,-,-,-
Arivu,Video,"Lesson 1",V-1.1.4,0%,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
Arivu,Video,"Lesson 1",V-1.1.3,0%,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
Arivu,Video,"Lesson 1",V-1.1.2,0%,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
Arivu,Video,"Lesson 1",V-1.1.1,30%,"2019-12-27 07:53:47",-,-,-,-,-,-,-,-
Arivu,Video,"Lesson 2",V-1.2.4,-,-,0%,"0000-00-00 00:00:00",-,-,-,-,-,-
Arivu,Video,"Lesson 2",V-1.2.3,-,-,0%,"0000-00-00 00:00:00",-,-,-,-,-,-
Arivu,Video,"Lesson 2",V-1.2.2,-,-,10%,"2019-12-27 07:54:30",-,-,-,-,-,-
Arivu,Video,"Lesson 2",V-1.2.1,-,-,10%,"2019-12-27 07:54:14",-,-,-,-,-,-
Arivu,Video,"Lesson 3",V-1.3.4,-,-,-,-,0%,"0000-00-00 00:00:00",-,-,-,-
Arivu,Video,"Lesson 3",V-1.3.3,-,-,-,-,10%,"2019-12-27 07:55:31",-,-,-,-
Arivu,Video,"Lesson 3",V-1.3.2,-,-,-,-,10%,"2019-12-27 07:55:04",-,-,-,-
Arivu,Video,"Lesson 3",V-1.3.1,-,-,-,-,10%,"2019-12-27 07:54:48",-,-,-,-
Arivu,Video,"Lesson 4",V-1.4.4,-,-,-,-,-,-,10%,"2019-12-27 07:56:56",-,-
Arivu,Video,"Lesson 4",V-1.4.3,-,-,-,-,-,-,10%,"2019-12-27 07:56:37",-,-
Arivu,Video,"Lesson 4",V-1.4.2,-,-,-,-,-,-,10%,"2019-12-27 07:56:13",-,-
Arivu,Video,"Lesson 4",V-1.4.1,-,-,-,-,-,-,10%,"2019-12-27 07:55:55",-,-
Arivu,Video,"Productivity Test",-,-,-,-,-,-,-,-,-,-,-
Arivu,quiz,"Lesson 1",-,-,-,-,-,-,-,-,-,-,-
Arivu,quiz,"Lesson 2",-,-,-,-,-,-,-,-,-,-,-
Arivu,quiz,"Lesson 3",-,-,-,-,-,-,-,-,-,-,-
Arivu,quiz,"Lesson 4",-,-,-,-,-,-,-,-,-,-,-
Arivu,quiz,"Productivity Test","Productivity Quiz",-,-,-,-,-,-,-,-,25point,"2020-01-06 11:50:59"
Arivu,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
Arivu,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
Arivu,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
Arivu,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
Arivu,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
Arivu,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
Arivu,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
Arivu,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
Arivu,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,○,"2019-12-27 01:55:16",-,-,-,-
Arivu,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,○,"2019-12-27 01:55:44",-,-,-,-
Arivu,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-,-,-
Arivu,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-,-,-
Arivu,questionnaire,"Lesson 4",Questionnaire,-,-,-,-,-,-,×,"0000-00-00 00:00:00",-,-
Arivu,questionnaire,"Lesson 4",Questionnaire,-,-,-,-,-,-,×,"0000-00-00 00:00:00",-,-
Arivu,questionnaire,"Lesson 4",Questionnaire,-,-,-,-,-,-,○,"2019-12-27 01:56:26",-,-
Arivu,questionnaire,"Lesson 4",Questionnaire,-,-,-,-,-,-,×,"0000-00-00 00:00:00",-,-
Arivu,questionnaire,"Productivity Test",-,-,-,-,-,-,-,-,-,-,-
Arivu,report,"Lesson 1",-,-,-,-,-,-,-,-,-,-,-
Arivu,report,"Lesson 2",-,-,-,-,-,-,-,-,-,-,-
Arivu,report,"Lesson 3",-,-,-,-,-,-,-,-,-,-,-
Arivu,report,"Lesson 4",-,-,-,-,-,-,-,-,-,-,-
Arivu,report,"Productivity Test",-,-,-,-,-,-,-,-,-,-,-
ts1,Video,"Lesson 1",V-1.1.4,30%,"2019-12-26 13:37:51",-,-,-,-,-,-,-,-
ts1,Video,"Lesson 1",V-1.1.3,20%,"2019-12-26 10:46:56",-,-,-,-,-,-,-,-
ts1,Video,"Lesson 1",V-1.1.2,50%,"2019-12-26 10:47:22",-,-,-,-,-,-,-,-
ts1,Video,"Lesson 1",V-1.1.1,10%,"2019-12-26 11:09:11",-,-,-,-,-,-,-,-
ts1,Video,"Lesson 2",V-1.2.4,-,-,0%,"0000-00-00 00:00:00",-,-,-,-,-,-
ts1,Video,"Lesson 2",V-1.2.3,-,-,10%,"2019-12-26 11:03:11",-,-,-,-,-,-
ts1,Video,"Lesson 2",V-1.2.2,-,-,0%,"2019-12-26 10:49:12",-,-,-,-,-,-
ts1,Video,"Lesson 2",V-1.2.1,-,-,0%,"2019-12-26 10:49:01",-,-,-,-,-,-
ts1,Video,"Lesson 3",V-1.3.4,-,-,-,-,10%,"2019-12-26 11:07:17",-,-,-,-
ts1,Video,"Lesson 3",V-1.3.3,-,-,-,-,0%,"2019-12-26 10:49:43",-,-,-,-
ts1,Video,"Lesson 3",V-1.3.2,-,-,-,-,0%,"2019-12-26 10:49:33",-,-,-,-
ts1,Video,"Lesson 3",V-1.3.1,-,-,-,-,0%,"2019-12-26 10:49:23",-,-,-,-
ts1,Video,"Lesson 4",V-1.4.4,-,-,-,-,-,-,0%,"2019-12-26 10:50:33",-,-
ts1,Video,"Lesson 4",V-1.4.3,-,-,-,-,-,-,0%,"2019-12-26 10:50:17",-,-
ts1,Video,"Lesson 4",V-1.4.2,-,-,-,-,-,-,0%,"2019-12-26 10:50:06",-,-
ts1,Video,"Lesson 4",V-1.4.1,-,-,-,-,-,-,0%,"2019-12-26 10:49:55",-,-
ts1,Video,"Productivity Test",-,-,-,-,-,-,-,-,-,-,-
ts1,quiz,"Lesson 1",-,-,-,-,-,-,-,-,-,-,-
ts1,quiz,"Lesson 2",-,-,-,-,-,-,-,-,-,-,-
ts1,quiz,"Lesson 3",-,-,-,-,-,-,-,-,-,-,-
ts1,quiz,"Lesson 4",-,-,-,-,-,-,-,-,-,-,-
ts1,quiz,"Productivity Test","Productivity Quiz",-,-,-,-,-,-,-,-,20point,"2019-12-26 10:51:24"
ts1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
ts1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
ts1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
ts1,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
ts1,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
ts1,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
ts1,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
ts1,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
ts1,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-,-,-
ts1,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-,-,-
ts1,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-,-,-
ts1,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-,-,-
ts1,questionnaire,"Lesson 4",Questionnaire,-,-,-,-,-,-,×,"0000-00-00 00:00:00",-,-
ts1,questionnaire,"Lesson 4",Questionnaire,-,-,-,-,-,-,×,"0000-00-00 00:00:00",-,-
ts1,questionnaire,"Lesson 4",Questionnaire,-,-,-,-,-,-,×,"0000-00-00 00:00:00",-,-
ts1,questionnaire,"Lesson 4",Questionnaire,-,-,-,-,-,-,×,"0000-00-00 00:00:00",-,-
ts1,questionnaire,"Productivity Test",-,-,-,-,-,-,-,-,-,-,-
ts1,report,"Lesson 1",-,-,-,-,-,-,-,-,-,-,-
ts1,report,"Lesson 2",-,-,-,-,-,-,-,-,-,-,-
ts1,report,"Lesson 3",-,-,-,-,-,-,-,-,-,-,-
ts1,report,"Lesson 4",-,-,-,-,-,-,-,-,-,-,-
ts1,report,"Productivity Test",-,-,-,-,-,-,-,-,-,-,-
ts2,Video,"Lesson 1",V-1.1.4,0%,"2019-12-26 13:17:40",-,-,-,-,-,-,-,-
ts2,Video,"Lesson 1",V-1.1.3,0%,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
ts2,Video,"Lesson 1",V-1.1.2,10%,"2019-12-26 11:24:36",-,-,-,-,-,-,-,-
ts2,Video,"Lesson 1",V-1.1.1,10%,"2019-12-26 13:15:30",-,-,-,-,-,-,-,-
ts2,Video,"Lesson 2",V-1.2.4,-,-,0%,"0000-00-00 00:00:00",-,-,-,-,-,-
ts2,Video,"Lesson 2",V-1.2.3,-,-,40%,"2019-12-26 13:35:44",-,-,-,-,-,-
ts2,Video,"Lesson 2",V-1.2.2,-,-,10%,"2019-12-26 11:25:12",-,-,-,-,-,-
ts2,Video,"Lesson 2",V-1.2.1,-,-,10%,"2019-12-26 11:24:52",-,-,-,-,-,-
ts2,Video,"Lesson 3",V-1.3.4,-,-,-,-,40%,"2019-12-26 13:36:39",-,-,-,-
ts2,Video,"Lesson 3",V-1.3.3,-,-,-,-,0%,"2019-12-26 11:26:22",-,-,-,-
ts2,Video,"Lesson 3",V-1.3.2,-,-,-,-,10%,"2019-12-26 11:25:43",-,-,-,-
ts2,Video,"Lesson 3",V-1.3.1,-,-,-,-,10%,"2019-12-26 11:25:26",-,-,-,-
ts2,Video,"Lesson 4",V-1.4.4,-,-,-,-,-,-,0%,"2019-12-26 11:27:30",-,-
ts2,Video,"Lesson 4",V-1.4.3,-,-,-,-,-,-,0%,"2019-12-26 11:27:13",-,-
ts2,Video,"Lesson 4",V-1.4.2,-,-,-,-,-,-,0%,"2019-12-26 11:26:59",-,-
ts2,Video,"Lesson 4",V-1.4.1,-,-,-,-,-,-,0%,"2019-12-26 11:26:41",-,-
ts2,Video,"Productivity Test",-,-,-,-,-,-,-,-,-,-,-
ts2,quiz,"Lesson 1",-,-,-,-,-,-,-,-,-,-,-
ts2,quiz,"Lesson 2",-,-,-,-,-,-,-,-,-,-,-
ts2,quiz,"Lesson 3",-,-,-,-,-,-,-,-,-,-,-
ts2,quiz,"Lesson 4",-,-,-,-,-,-,-,-,-,-,-
ts2,quiz,"Productivity Test","Productivity Quiz",-,-,-,-,-,-,-,-,20point,"2019-12-26 11:29:08"
ts2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
ts2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
ts2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
ts2,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-,-,-
ts2,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
ts2,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
ts2,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
ts2,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-,-,-
ts2,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-,-,-
ts2,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-,-,-
ts2,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-,-,-
ts2,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-,-,-
ts2,questionnaire,"Lesson 4",Questionnaire,-,-,-,-,-,-,×,"0000-00-00 00:00:00",-,-
ts2,questionnaire,"Lesson 4",Questionnaire,-,-,-,-,-,-,×,"0000-00-00 00:00:00",-,-
